# 1, 50g, 20971520, false, read
size, 0, 0
read, 0, 191330
network, 0, 22908
read, 1, 168088
network, 1, 21973
read, 2, 168779
network, 2, 22022
read, 3, 164360
network, 3, 22039
read, 4, 162905
network, 4, 22101
read, 5, 161475
network, 5, 22046
read, 6, 158894
network, 6, 22215
read, 7, 161105
network, 7, 22025
read, 8, 161521
network, 8, 22162
read, 9, 154980
network, 9, 22067
read, 10, 153510
network, 10, 22111
read, 11, 149168
network, 11, 21980
read, 12, 149930
network, 12, 22166
read, 13, 146401
network, 13, 22033
read, 14, 146075
network, 14, 22002
read, 15, 147882
network, 15, 22077
read, 16, 141965
network, 16, 22000
read, 17, 139077
network, 17, 22013
read, 18, 136192
network, 18, 22188
read, 19, 133463
network, 19, 21973
read, 20, 130388
network, 20, 22040
read, 21, 127841
network, 21, 22041
read, 22, 131761
network, 22, 22011
read, 23, 128637
network, 23, 22085
read, 24, 128750
network, 24, 22169
cmd-read, 0, 4297646
